text,emotion
I feel like struggling to stay awake while studying python.,Bored
This python textbook is the most tedious thing I've ever read.,Bored
this python textbook is the most tedious thing i've ever read,Bored
This python textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this python textbook is the most tedious thing I've ever read.",Bored
I feel like this python textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of python.,Confident
i feel really good about my understanding of python,Confident
I feel really good about my understanding of python.!,Confident
"Honestly, i feel really good about my understanding of python.",Confident
I feel like i feel really good about my understanding of python.,Confident
I solved all the python homework problems easily.,Confident
i solved all the python homework problems easily,Confident
I solved all the python homework problems easily.!,Confident
"Honestly, i solved all the python homework problems easily.",Confident
I feel like i solved all the python homework problems easily.,Confident
I'm ready to ace this python test.,Confident
i'm ready to ace this python test,Confident
I'm ready to ace this python test.!,Confident
"Honestly, i'm ready to ace this python test.",Confident
I feel like i'm ready to ace this python test.,Confident
Understanding python has been super smooth for me.,Confident
understanding python has been super smooth for me,Confident
Understanding python has been super smooth for me.!,Confident
"Honestly, understanding python has been super smooth for me.",Confident
I feel like understanding python has been super smooth for me.,Confident
I can confidently implement the core concepts of python.,Confident
i can confidently implement the core concepts of python,Confident
I can confidently implement the core concepts of python.!,Confident
"Honestly, i can confidently implement the core concepts of python.",Confident
I feel like i can confidently implement the core concepts of python.,Confident
I'm completely lost when it comes to python.,Confused
i'm completely lost when it comes to python,Confused
I'm completely lost when it comes to python.!,Confused
"Honestly, i'm completely lost when it comes to python.",Confused
I feel like i'm completely lost when it comes to python.,Confused
Can someone help explain python? I don't understand it.,Confused
can someone help explain python? i don't understand it,Confused
Can someone help explain python? I don't understand it.!,Confused
"Honestly, can someone help explain python? I don't understand it.",Confused
I feel like can someone help explain python? I don't understand it.,Confused
I don't know what is going on in python class.,Confused
i don't know what is going on in python class,Confused
I don't know what is going on in python class.!,Confused
"Honestly, i don't know what is going on in python class.",Confused
I feel like i don't know what is going on in python class.,Confused
The concept of python is very confusing to me.,Confused
the concept of python is very confusing to me,Confused
The concept of python is very confusing to me.!,Confused
"Honestly, the concept of python is very confusing to me.",Confused
I feel like the concept of python is very confusing to me.,Confused
"I'm stuck on python basics, I need a tutor.",Confused
"i'm stuck on python basics, i need a tutor",Confused
"I'm stuck on python basics, I need a tutor.!",Confused
"Honestly, i'm stuck on python basics, I need a tutor.",Confused
"I feel like i'm stuck on python basics, I need a tutor.",Confused
I really want to dive deeper into python applications.,Curious
i really want to dive deeper into python applications,Curious
I really want to dive deeper into python applications.!,Curious
"Honestly, i really want to dive deeper into python applications.",Curious
I feel like i really want to dive deeper into python applications.,Curious
I'm curious about how python works in the industry.,Curious
i'm curious about how python works in the industry,Curious
I'm curious about how python works in the industry.!,Curious
"Honestly, i'm curious about how python works in the industry.",Curious
I feel like i'm curious about how python works in the industry.,Curious
How does python relate to real-world software systems?,Curious
how does python relate to real-world software systems?,Curious
How does python relate to real-world software systems?!,Curious
"Honestly, how does python relate to real-world software systems?",Curious
I feel like how does python relate to real-world software systems?,Curious
I want to know more about the advanced topics in python.,Curious
i want to know more about the advanced topics in python,Curious
I want to know more about the advanced topics in python.!,Curious
"Honestly, i want to know more about the advanced topics in python.",Curious
I feel like i want to know more about the advanced topics in python.,Curious
Are there any projects I can build to master python?,Curious
are there any projects i can build to master python?,Curious
Are there any projects I can build to master python?!,Curious
"Honestly, are there any projects I can build to master python?",Curious
I feel like are there any projects I can build to master python?,Curious
I'm so frustrated with this python homework.,Frustrated
i'm so frustrated with this python homework,Frustrated
I'm so frustrated with this python homework.!,Frustrated
"Honestly, i'm so frustrated with this python homework.",Frustrated
I feel like i'm so frustrated with this python homework.,Frustrated
I've been trying to solve this python issue for hours.,Frustrated
i've been trying to solve this python issue for hours,Frustrated
I've been trying to solve this python issue for hours.!,Frustrated
"Honestly, i've been trying to solve this python issue for hours.",Frustrated
I feel like i've been trying to solve this python issue for hours.,Frustrated
This python lab is absolute torture.,Frustrated
this python lab is absolute torture,Frustrated
This python lab is absolute torture.!,Frustrated
"Honestly, this python lab is absolute torture.",Frustrated
I feel like this python lab is absolute torture.,Frustrated
I keep failing the tests for python and I'm losing my mind.,Frustrated
i keep failing the tests for python and i'm losing my mind,Frustrated
I keep failing the tests for python and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for python and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for python and I'm losing my mind.,Frustrated
Nothing makes sense in python and it's extremely annoying.,Frustrated
nothing makes sense in python and it's extremely annoying,Frustrated
Nothing makes sense in python and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in python and it's extremely annoying.",Frustrated
I feel like nothing makes sense in python and it's extremely annoying.,Frustrated
"Honestly, physics is so boring.",Bored
"honestly, physics is so boring",Bored
"Honestly, physics is so boring.!",Bored
"Honestly, honestly, physics is so boring.",Bored
"I feel like honestly, physics is so boring.",Bored
I can't pay attention to physics lectures at all.,Bored
i can't pay attention to physics lectures at all,Bored
I can't pay attention to physics lectures at all.!,Bored
"Honestly, i can't pay attention to physics lectures at all.",Bored
I feel like i can't pay attention to physics lectures at all.,Bored
Why do we study physics? It's just pointless memorization.,Bored
why do we study physics? it's just pointless memorization,Bored
Why do we study physics? It's just pointless memorization.!,Bored
"Honestly, why do we study physics? It's just pointless memorization.",Bored
I feel like why do we study physics? It's just pointless memorization.,Bored
Struggling to stay awake while studying physics.,Bored
struggling to stay awake while studying physics,Bored
Struggling to stay awake while studying physics.!,Bored
"Honestly, struggling to stay awake while studying physics.",Bored
I feel like struggling to stay awake while studying physics.,Bored
This physics textbook is the most tedious thing I've ever read.,Bored
this physics textbook is the most tedious thing i've ever read,Bored
This physics textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this physics textbook is the most tedious thing I've ever read.",Bored
I feel like this physics textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of physics.,Confident
i feel really good about my understanding of physics,Confident
I feel really good about my understanding of physics.!,Confident
"Honestly, i feel really good about my understanding of physics.",Confident
I feel like i feel really good about my understanding of physics.,Confident
I solved all the physics homework problems easily.,Confident
i solved all the physics homework problems easily,Confident
I solved all the physics homework problems easily.!,Confident
"Honestly, i solved all the physics homework problems easily.",Confident
I feel like i solved all the physics homework problems easily.,Confident
I'm ready to ace this physics test.,Confident
i'm ready to ace this physics test,Confident
I'm ready to ace this physics test.!,Confident
"Honestly, i'm ready to ace this physics test.",Confident
I feel like i'm ready to ace this physics test.,Confident
Understanding physics has been super smooth for me.,Confident
understanding physics has been super smooth for me,Confident
Understanding physics has been super smooth for me.!,Confident
"Honestly, understanding physics has been super smooth for me.",Confident
I feel like understanding physics has been super smooth for me.,Confident
I can confidently implement the core concepts of physics.,Confident
i can confidently implement the core concepts of physics,Confident
I can confidently implement the core concepts of physics.!,Confident
"Honestly, i can confidently implement the core concepts of physics.",Confident
I feel like i can confidently implement the core concepts of physics.,Confident
I'm completely lost when it comes to physics.,Confused
i'm completely lost when it comes to physics,Confused
I'm completely lost when it comes to physics.!,Confused
"Honestly, i'm completely lost when it comes to physics.",Confused
I feel like i'm completely lost when it comes to physics.,Confused
Can someone help explain physics? I don't understand it.,Confused
can someone help explain physics? i don't understand it,Confused
Can someone help explain physics? I don't understand it.!,Confused
"Honestly, can someone help explain physics? I don't understand it.",Confused
I feel like can someone help explain physics? I don't understand it.,Confused
I don't know what is going on in physics class.,Confused
i don't know what is going on in physics class,Confused
I don't know what is going on in physics class.!,Confused
"Honestly, i don't know what is going on in physics class.",Confused
I feel like i don't know what is going on in physics class.,Confused
The concept of physics is very confusing to me.,Confused
the concept of physics is very confusing to me,Confused
The concept of physics is very confusing to me.!,Confused
"Honestly, the concept of physics is very confusing to me.",Confused
I feel like the concept of physics is very confusing to me.,Confused
"I'm stuck on physics basics, I need a tutor.",Confused
"i'm stuck on physics basics, i need a tutor",Confused
"I'm stuck on physics basics, I need a tutor.!",Confused
"Honestly, i'm stuck on physics basics, I need a tutor.",Confused
"I feel like i'm stuck on physics basics, I need a tutor.",Confused
I really want to dive deeper into physics applications.,Curious
i really want to dive deeper into physics applications,Curious
I really want to dive deeper into physics applications.!,Curious
"Honestly, i really want to dive deeper into physics applications.",Curious
I feel like i really want to dive deeper into physics applications.,Curious
I'm curious about how physics works in the industry.,Curious
i'm curious about how physics works in the industry,Curious
I'm curious about how physics works in the industry.!,Curious
"Honestly, i'm curious about how physics works in the industry.",Curious
I feel like i'm curious about how physics works in the industry.,Curious
How does physics relate to real-world software systems?,Curious
how does physics relate to real-world software systems?,Curious
How does physics relate to real-world software systems?!,Curious
"Honestly, how does physics relate to real-world software systems?",Curious
I feel like how does physics relate to real-world software systems?,Curious
I want to know more about the advanced topics in physics.,Curious
i want to know more about the advanced topics in physics,Curious
I want to know more about the advanced topics in physics.!,Curious
"Honestly, i want to know more about the advanced topics in physics.",Curious
I feel like i want to know more about the advanced topics in physics.,Curious
Are there any projects I can build to master physics?,Curious
are there any projects i can build to master physics?,Curious
Are there any projects I can build to master physics?!,Curious
"Honestly, are there any projects I can build to master physics?",Curious
I feel like are there any projects I can build to master physics?,Curious
I'm so frustrated with this physics homework.,Frustrated
i'm so frustrated with this physics homework,Frustrated
I'm so frustrated with this physics homework.!,Frustrated
"Honestly, i'm so frustrated with this physics homework.",Frustrated
I feel like i'm so frustrated with this physics homework.,Frustrated
I've been trying to solve this physics issue for hours.,Frustrated
i've been trying to solve this physics issue for hours,Frustrated
I've been trying to solve this physics issue for hours.!,Frustrated
"Honestly, i've been trying to solve this physics issue for hours.",Frustrated
I feel like i've been trying to solve this physics issue for hours.,Frustrated
This physics lab is absolute torture.,Frustrated
this physics lab is absolute torture,Frustrated
This physics lab is absolute torture.!,Frustrated
"Honestly, this physics lab is absolute torture.",Frustrated
I feel like this physics lab is absolute torture.,Frustrated
I keep failing the tests for physics and I'm losing my mind.,Frustrated
i keep failing the tests for physics and i'm losing my mind,Frustrated
I keep failing the tests for physics and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for physics and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for physics and I'm losing my mind.,Frustrated
Nothing makes sense in physics and it's extremely annoying.,Frustrated
nothing makes sense in physics and it's extremely annoying,Frustrated
Nothing makes sense in physics and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in physics and it's extremely annoying.",Frustrated
I feel like nothing makes sense in physics and it's extremely annoying.,Frustrated
"Honestly, web development is so boring.",Bored
"honestly, web development is so boring",Bored
"Honestly, web development is so boring.!",Bored
"Honestly, honestly, web development is so boring.",Bored
"I feel like honestly, web development is so boring.",Bored
I can't pay attention to web development lectures at all.,Bored
i can't pay attention to web development lectures at all,Bored
I can't pay attention to web development lectures at all.!,Bored
"Honestly, i can't pay attention to web development lectures at all.",Bored
I feel like i can't pay attention to web development lectures at all.,Bored
Why do we study web development? It's just pointless memorization.,Bored
why do we study web development? it's just pointless memorization,Bored
Why do we study web development? It's just pointless memorization.!,Bored
"Honestly, why do we study web development? It's just pointless memorization.",Bored
I feel like why do we study web development? It's just pointless memorization.,Bored
Struggling to stay awake while studying web development.,Bored
struggling to stay awake while studying web development,Bored
Struggling to stay awake while studying web development.!,Bored
"Honestly, struggling to stay awake while studying web development.",Bored
I feel like struggling to stay awake while studying web development.,Bored
This web development textbook is the most tedious thing I've ever read.,Bored
this web development textbook is the most tedious thing i've ever read,Bored
This web development textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this web development textbook is the most tedious thing I've ever read.",Bored
I feel like this web development textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of web development.,Confident
i feel really good about my understanding of web development,Confident
I feel really good about my understanding of web development.!,Confident
"Honestly, i feel really good about my understanding of web development.",Confident
I feel like i feel really good about my understanding of web development.,Confident
I solved all the web development homework problems easily.,Confident
i solved all the web development homework problems easily,Confident
I solved all the web development homework problems easily.!,Confident
"Honestly, i solved all the web development homework problems easily.",Confident
I feel like i solved all the web development homework problems easily.,Confident
I'm ready to ace this web development test.,Confident
i'm ready to ace this web development test,Confident
I'm ready to ace this web development test.!,Confident
"Honestly, i'm ready to ace this web development test.",Confident
I feel like i'm ready to ace this web development test.,Confident
Understanding web development has been super smooth for me.,Confident
understanding web development has been super smooth for me,Confident
Understanding web development has been super smooth for me.!,Confident
"Honestly, understanding web development has been super smooth for me.",Confident
I feel like understanding web development has been super smooth for me.,Confident
I can confidently implement the core concepts of web development.,Confident
i can confidently implement the core concepts of web development,Confident
I can confidently implement the core concepts of web development.!,Confident
"Honestly, i can confidently implement the core concepts of web development.",Confident
I feel like i can confidently implement the core concepts of web development.,Confident
I'm completely lost when it comes to web development.,Confused
i'm completely lost when it comes to web development,Confused
I'm completely lost when it comes to web development.!,Confused
"Honestly, i'm completely lost when it comes to web development.",Confused
I feel like i'm completely lost when it comes to web development.,Confused
Can someone help explain web development? I don't understand it.,Confused
can someone help explain web development? i don't understand it,Confused
Can someone help explain web development? I don't understand it.!,Confused
"Honestly, can someone help explain web development? I don't understand it.",Confused
I feel like can someone help explain web development? I don't understand it.,Confused
I don't know what is going on in web development class.,Confused
i don't know what is going on in web development class,Confused
I don't know what is going on in web development class.!,Confused
"Honestly, i don't know what is going on in web development class.",Confused
I feel like i don't know what is going on in web development class.,Confused
The concept of web development is very confusing to me.,Confused
the concept of web development is very confusing to me,Confused
The concept of web development is very confusing to me.!,Confused
"Honestly, the concept of web development is very confusing to me.",Confused
I feel like the concept of web development is very confusing to me.,Confused
"I'm stuck on web development basics, I need a tutor.",Confused
"i'm stuck on web development basics, i need a tutor",Confused
"I'm stuck on web development basics, I need a tutor.!",Confused
"Honestly, i'm stuck on web development basics, I need a tutor.",Confused
"I feel like i'm stuck on web development basics, I need a tutor.",Confused
I really want to dive deeper into web development applications.,Curious
i really want to dive deeper into web development applications,Curious
I really want to dive deeper into web development applications.!,Curious
"Honestly, i really want to dive deeper into web development applications.",Curious
I feel like i really want to dive deeper into web development applications.,Curious
I'm curious about how web development works in the industry.,Curious
i'm curious about how web development works in the industry,Curious
I'm curious about how web development works in the industry.!,Curious
"Honestly, i'm curious about how web development works in the industry.",Curious
I feel like i'm curious about how web development works in the industry.,Curious
How does web development relate to real-world software systems?,Curious
how does web development relate to real-world software systems?,Curious
How does web development relate to real-world software systems?!,Curious
"Honestly, how does web development relate to real-world software systems?",Curious
I feel like how does web development relate to real-world software systems?,Curious
I want to know more about the advanced topics in web development.,Curious
i want to know more about the advanced topics in web development,Curious
I want to know more about the advanced topics in web development.!,Curious
"Honestly, i want to know more about the advanced topics in web development.",Curious
I feel like i want to know more about the advanced topics in web development.,Curious
Are there any projects I can build to master web development?,Curious
are there any projects i can build to master web development?,Curious
Are there any projects I can build to master web development?!,Curious
"Honestly, are there any projects I can build to master web development?",Curious
I feel like are there any projects I can build to master web development?,Curious
I'm so frustrated with this web development homework.,Frustrated
i'm so frustrated with this web development homework,Frustrated
I'm so frustrated with this web development homework.!,Frustrated
"Honestly, i'm so frustrated with this web development homework.",Frustrated
I feel like i'm so frustrated with this web development homework.,Frustrated
I've been trying to solve this web development issue for hours.,Frustrated
i've been trying to solve this web development issue for hours,Frustrated
I've been trying to solve this web development issue for hours.!,Frustrated
"Honestly, i've been trying to solve this web development issue for hours.",Frustrated
I feel like i've been trying to solve this web development issue for hours.,Frustrated
This web development lab is absolute torture.,Frustrated
this web development lab is absolute torture,Frustrated
This web development lab is absolute torture.!,Frustrated
"Honestly, this web development lab is absolute torture.",Frustrated
I feel like this web development lab is absolute torture.,Frustrated
I keep failing the tests for web development and I'm losing my mind.,Frustrated
i keep failing the tests for web development and i'm losing my mind,Frustrated
I keep failing the tests for web development and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for web development and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for web development and I'm losing my mind.,Frustrated
Nothing makes sense in web development and it's extremely annoying.,Frustrated
nothing makes sense in web development and it's extremely annoying,Frustrated
Nothing makes sense in web development and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in web development and it's extremely annoying.",Frustrated
I feel like nothing makes sense in web development and it's extremely annoying.,Frustrated
"Honestly, databases is so boring.",Bored
"honestly, databases is so boring",Bored
"Honestly, databases is so boring.!",Bored
"Honestly, honestly, databases is so boring.",Bored
"I feel like honestly, databases is so boring.",Bored
I can't pay attention to databases lectures at all.,Bored
i can't pay attention to databases lectures at all,Bored
I can't pay attention to databases lectures at all.!,Bored
"Honestly, i can't pay attention to databases lectures at all.",Bored
I feel like i can't pay attention to databases lectures at all.,Bored
Why do we study databases? It's just pointless memorization.,Bored
why do we study databases? it's just pointless memorization,Bored
Why do we study databases? It's just pointless memorization.!,Bored
"Honestly, why do we study databases? It's just pointless memorization.",Bored
I feel like why do we study databases? It's just pointless memorization.,Bored
Struggling to stay awake while studying databases.,Bored
struggling to stay awake while studying databases,Bored
Struggling to stay awake while studying databases.!,Bored
"Honestly, struggling to stay awake while studying databases.",Bored
I feel like struggling to stay awake while studying databases.,Bored
This databases textbook is the most tedious thing I've ever read.,Bored
this databases textbook is the most tedious thing i've ever read,Bored
This databases textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this databases textbook is the most tedious thing I've ever read.",Bored
I feel like this databases textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of databases.,Confident
i feel really good about my understanding of databases,Confident
I feel really good about my understanding of databases.!,Confident
"Honestly, i feel really good about my understanding of databases.",Confident
I feel like i feel really good about my understanding of databases.,Confident
I solved all the databases homework problems easily.,Confident
i solved all the databases homework problems easily,Confident
I solved all the databases homework problems easily.!,Confident
"Honestly, i solved all the databases homework problems easily.",Confident
I feel like i solved all the databases homework problems easily.,Confident
I'm ready to ace this databases test.,Confident
i'm ready to ace this databases test,Confident
I'm ready to ace this databases test.!,Confident
"Honestly, i'm ready to ace this databases test.",Confident
I feel like i'm ready to ace this databases test.,Confident
Understanding databases has been super smooth for me.,Confident
understanding databases has been super smooth for me,Confident
Understanding databases has been super smooth for me.!,Confident
"Honestly, understanding databases has been super smooth for me.",Confident
I feel like understanding databases has been super smooth for me.,Confident
I can confidently implement the core concepts of databases.,Confident
i can confidently implement the core concepts of databases,Confident
I can confidently implement the core concepts of databases.!,Confident
"Honestly, i can confidently implement the core concepts of databases.",Confident
I feel like i can confidently implement the core concepts of databases.,Confident
I'm completely lost when it comes to databases.,Confused
i'm completely lost when it comes to databases,Confused
I'm completely lost when it comes to databases.!,Confused
"Honestly, i'm completely lost when it comes to databases.",Confused
I feel like i'm completely lost when it comes to databases.,Confused
Can someone help explain databases? I don't understand it.,Confused
can someone help explain databases? i don't understand it,Confused
Can someone help explain databases? I don't understand it.!,Confused
"Honestly, can someone help explain databases? I don't understand it.",Confused
I feel like can someone help explain databases? I don't understand it.,Confused
I don't know what is going on in databases class.,Confused
i don't know what is going on in databases class,Confused
I don't know what is going on in databases class.!,Confused
"Honestly, i don't know what is going on in databases class.",Confused
I feel like i don't know what is going on in databases class.,Confused
The concept of databases is very confusing to me.,Confused
the concept of databases is very confusing to me,Confused
The concept of databases is very confusing to me.!,Confused
"Honestly, the concept of databases is very confusing to me.",Confused
I feel like the concept of databases is very confusing to me.,Confused
"I'm stuck on databases basics, I need a tutor.",Confused
"i'm stuck on databases basics, i need a tutor",Confused
"I'm stuck on databases basics, I need a tutor.!",Confused
"Honestly, i'm stuck on databases basics, I need a tutor.",Confused
"I feel like i'm stuck on databases basics, I need a tutor.",Confused
I really want to dive deeper into databases applications.,Curious
i really want to dive deeper into databases applications,Curious
I really want to dive deeper into databases applications.!,Curious
"Honestly, i really want to dive deeper into databases applications.",Curious
I feel like i really want to dive deeper into databases applications.,Curious
I'm curious about how databases works in the industry.,Curious
i'm curious about how databases works in the industry,Curious
I'm curious about how databases works in the industry.!,Curious
"Honestly, i'm curious about how databases works in the industry.",Curious
I feel like i'm curious about how databases works in the industry.,Curious
How does databases relate to real-world software systems?,Curious
how does databases relate to real-world software systems?,Curious
How does databases relate to real-world software systems?!,Curious
"Honestly, how does databases relate to real-world software systems?",Curious
I feel like how does databases relate to real-world software systems?,Curious
I want to know more about the advanced topics in databases.,Curious
i want to know more about the advanced topics in databases,Curious
I want to know more about the advanced topics in databases.!,Curious
"Honestly, i want to know more about the advanced topics in databases.",Curious
I feel like i want to know more about the advanced topics in databases.,Curious
Are there any projects I can build to master databases?,Curious
are there any projects i can build to master databases?,Curious
Are there any projects I can build to master databases?!,Curious
"Honestly, are there any projects I can build to master databases?",Curious
I feel like are there any projects I can build to master databases?,Curious
I'm so frustrated with this databases homework.,Frustrated
i'm so frustrated with this databases homework,Frustrated
I'm so frustrated with this databases homework.!,Frustrated
"Honestly, i'm so frustrated with this databases homework.",Frustrated
I feel like i'm so frustrated with this databases homework.,Frustrated
I've been trying to solve this databases issue for hours.,Frustrated
i've been trying to solve this databases issue for hours,Frustrated
I've been trying to solve this databases issue for hours.!,Frustrated
"Honestly, i've been trying to solve this databases issue for hours.",Frustrated
I feel like i've been trying to solve this databases issue for hours.,Frustrated
This databases lab is absolute torture.,Frustrated
this databases lab is absolute torture,Frustrated
This databases lab is absolute torture.!,Frustrated
"Honestly, this databases lab is absolute torture.",Frustrated
I feel like this databases lab is absolute torture.,Frustrated
I keep failing the tests for databases and I'm losing my mind.,Frustrated
i keep failing the tests for databases and i'm losing my mind,Frustrated
I keep failing the tests for databases and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for databases and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for databases and I'm losing my mind.,Frustrated
Nothing makes sense in databases and it's extremely annoying.,Frustrated
nothing makes sense in databases and it's extremely annoying,Frustrated
Nothing makes sense in databases and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in databases and it's extremely annoying.",Frustrated
I feel like nothing makes sense in databases and it's extremely annoying.,Frustrated
"Honestly, algorithms is so boring.",Bored
"honestly, algorithms is so boring",Bored
"Honestly, algorithms is so boring.!",Bored
"Honestly, honestly, algorithms is so boring.",Bored
"I feel like honestly, algorithms is so boring.",Bored
I can't pay attention to algorithms lectures at all.,Bored
i can't pay attention to algorithms lectures at all,Bored
I can't pay attention to algorithms lectures at all.!,Bored
"Honestly, i can't pay attention to algorithms lectures at all.",Bored
I feel like i can't pay attention to algorithms lectures at all.,Bored
Why do we study algorithms? It's just pointless memorization.,Bored
why do we study algorithms? it's just pointless memorization,Bored
Why do we study algorithms? It's just pointless memorization.!,Bored
"Honestly, why do we study algorithms? It's just pointless memorization.",Bored
I feel like why do we study algorithms? It's just pointless memorization.,Bored
Struggling to stay awake while studying algorithms.,Bored
struggling to stay awake while studying algorithms,Bored
Struggling to stay awake while studying algorithms.!,Bored
"Honestly, struggling to stay awake while studying algorithms.",Bored
I feel like struggling to stay awake while studying algorithms.,Bored
This algorithms textbook is the most tedious thing I've ever read.,Bored
this algorithms textbook is the most tedious thing i've ever read,Bored
This algorithms textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this algorithms textbook is the most tedious thing I've ever read.",Bored
I feel like this algorithms textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of algorithms.,Confident
i feel really good about my understanding of algorithms,Confident
I feel really good about my understanding of algorithms.!,Confident
"Honestly, i feel really good about my understanding of algorithms.",Confident
I feel like i feel really good about my understanding of algorithms.,Confident
I solved all the algorithms homework problems easily.,Confident
i solved all the algorithms homework problems easily,Confident
I solved all the algorithms homework problems easily.!,Confident
"Honestly, i solved all the algorithms homework problems easily.",Confident
I feel like i solved all the algorithms homework problems easily.,Confident
I'm ready to ace this algorithms test.,Confident
i'm ready to ace this algorithms test,Confident
I'm ready to ace this algorithms test.!,Confident
"Honestly, i'm ready to ace this algorithms test.",Confident
I feel like i'm ready to ace this algorithms test.,Confident
Understanding algorithms has been super smooth for me.,Confident
understanding algorithms has been super smooth for me,Confident
Understanding algorithms has been super smooth for me.!,Confident
"Honestly, understanding algorithms has been super smooth for me.",Confident
I feel like understanding algorithms has been super smooth for me.,Confident
I can confidently implement the core concepts of algorithms.,Confident
i can confidently implement the core concepts of algorithms,Confident
I can confidently implement the core concepts of algorithms.!,Confident
"Honestly, i can confidently implement the core concepts of algorithms.",Confident
I feel like i can confidently implement the core concepts of algorithms.,Confident
I'm completely lost when it comes to algorithms.,Confused
i'm completely lost when it comes to algorithms,Confused
I'm completely lost when it comes to algorithms.!,Confused
"Honestly, i'm completely lost when it comes to algorithms.",Confused
I feel like i'm completely lost when it comes to algorithms.,Confused
Can someone help explain algorithms? I don't understand it.,Confused
can someone help explain algorithms? i don't understand it,Confused
Can someone help explain algorithms? I don't understand it.!,Confused
"Honestly, can someone help explain algorithms? I don't understand it.",Confused
I feel like can someone help explain algorithms? I don't understand it.,Confused
I don't know what is going on in algorithms class.,Confused
i don't know what is going on in algorithms class,Confused
I don't know what is going on in algorithms class.!,Confused
"Honestly, i don't know what is going on in algorithms class.",Confused
I feel like i don't know what is going on in algorithms class.,Confused
The concept of algorithms is very confusing to me.,Confused
the concept of algorithms is very confusing to me,Confused
The concept of algorithms is very confusing to me.!,Confused
"Honestly, the concept of algorithms is very confusing to me.",Confused
I feel like the concept of algorithms is very confusing to me.,Confused
"I'm stuck on algorithms basics, I need a tutor.",Confused
"i'm stuck on algorithms basics, i need a tutor",Confused
"I'm stuck on algorithms basics, I need a tutor.!",Confused
"Honestly, i'm stuck on algorithms basics, I need a tutor.",Confused
"I feel like i'm stuck on algorithms basics, I need a tutor.",Confused
I really want to dive deeper into algorithms applications.,Curious
i really want to dive deeper into algorithms applications,Curious
I really want to dive deeper into algorithms applications.!,Curious
"Honestly, i really want to dive deeper into algorithms applications.",Curious
I feel like i really want to dive deeper into algorithms applications.,Curious
I'm curious about how algorithms works in the industry.,Curious
i'm curious about how algorithms works in the industry,Curious
I'm curious about how algorithms works in the industry.!,Curious
"Honestly, i'm curious about how algorithms works in the industry.",Curious
I feel like i'm curious about how algorithms works in the industry.,Curious
How does algorithms relate to real-world software systems?,Curious
how does algorithms relate to real-world software systems?,Curious
How does algorithms relate to real-world software systems?!,Curious
"Honestly, how does algorithms relate to real-world software systems?",Curious
I feel like how does algorithms relate to real-world software systems?,Curious
I want to know more about the advanced topics in algorithms.,Curious
i want to know more about the advanced topics in algorithms,Curious
I want to know more about the advanced topics in algorithms.!,Curious
"Honestly, i want to know more about the advanced topics in algorithms.",Curious
I feel like i want to know more about the advanced topics in algorithms.,Curious
Are there any projects I can build to master algorithms?,Curious
are there any projects i can build to master algorithms?,Curious
Are there any projects I can build to master algorithms?!,Curious
"Honestly, are there any projects I can build to master algorithms?",Curious
I feel like are there any projects I can build to master algorithms?,Curious
I'm so frustrated with this algorithms homework.,Frustrated
i'm so frustrated with this algorithms homework,Frustrated
I'm so frustrated with this algorithms homework.!,Frustrated
"Honestly, i'm so frustrated with this algorithms homework.",Frustrated
I feel like i'm so frustrated with this algorithms homework.,Frustrated
I've been trying to solve this algorithms issue for hours.,Frustrated
i've been trying to solve this algorithms issue for hours,Frustrated
I've been trying to solve this algorithms issue for hours.!,Frustrated
"Honestly, i've been trying to solve this algorithms issue for hours.",Frustrated
I feel like i've been trying to solve this algorithms issue for hours.,Frustrated
This algorithms lab is absolute torture.,Frustrated
this algorithms lab is absolute torture,Frustrated
This algorithms lab is absolute torture.!,Frustrated
"Honestly, this algorithms lab is absolute torture.",Frustrated
I feel like this algorithms lab is absolute torture.,Frustrated
I keep failing the tests for algorithms and I'm losing my mind.,Frustrated
i keep failing the tests for algorithms and i'm losing my mind,Frustrated
I keep failing the tests for algorithms and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for algorithms and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for algorithms and I'm losing my mind.,Frustrated
Nothing makes sense in algorithms and it's extremely annoying.,Frustrated
nothing makes sense in algorithms and it's extremely annoying,Frustrated
